Table No.19 (C),,,,,,,,
"STATEMENT ON REMITTANCE-WISE FDI EQUITY INFLOWS RECEIVED UNDER RBI’s AUTOMATIC ROUTE DURING MAY, 2015",,,,,,,,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
921,TRISTAR NATURAL RESOURCES PVT LTD,United Kingdom,Uday Pilani,HYDERABAD,"Mining and quarrying of abrasive materials (pumice stone, emery, corundum, garnet and other natural",0.04,0.00,
922,M/S NATEMS POWER LTD,United Kingdom,Armstrong Energy Global Ltd,HYDERABAD,Electric power generation using solar energy,58.82,0.92,
923,LOCAL CIRCLES INDIA PRIVATE LIMITED,United Kingdom,Pradeep Pattern,NEW DELHI,"Operation of other websites that act as portals to the Internet, such as media sites providing periodically",8.66,0.14,
924,CROSSLAY REMEDIES PVT LTD,U.S.A,PREM KUMAR,NEW DELHI,Other human health activities n.e.c. (including independent ambulance activities),0.48,0.01,
925,CERANA IMPORTS PRIVATE LIMITED,U.S.A,Seth Curt Schechtman,NEW DELHI,Wholesale of intoxicants like wines and liquors,0.60,0.01,
926,SANDOZI HEALTH AND EDUCATION FOUNDIATION,U.S.A,Irfan Khan Sandozi,HYDERABAD,Hospital activities,1.10,0.02,
927,JASPER INFOTECH PVT LTD,U.S.A,BlackRock Global Opportunities V.I.Fund,NEW DELHI,Other information technology and computer service activities n.e.c,2.07,0.03,
928,COMMUNITY PURE WATER  INDIA,U.S.A,COMMUNITY PURE WATER LLC,HYDERABAD,"Water collection, treatment and supply",1.23,0.02,
929,LOUDCELL TECHNOLOGIES PRIVATE LIMITED,U.S.A,Ramesh Kumar Gupta,NEW DELHI,Manufacture of industrial process control equipment,2.71,0.04,
930,LOUDCELL TECHNOLOGIES PRIVATE LIMITED,U.S.A,Loudcell Technologies Corporation,NEW DELHI,Manufacture of industrial process control equipment,1.84,0.03,
931,LOUDCELL TECHNOLOGIES PRIVATE LIMITED,U.S.A,Loudcell Technologies Corporation,NEW DELHI,Manufacture of industrial process control equipment,1.50,0.02,
932,PRESERVA INDUSTRIES PRIVATE LIMITED,U.S.A,KRISHNAVENI CHIMALADINNE,HYDERABAD,"MINING/QUARRYING OF LIMESTONE, LIMESHELL, KANKAR AND OTHER CALCAREOUSMINERALS INCLUDING CALCITE, CHALK",0.62,0.01,
933,PRESERVA INDUSTRIES PRIVATE LIMITED,U.S.A,Sridhar Chimaladinne,HYDERABAD,"MINING/QUARRYING OF LIMESTONE, LIMESHELL, KANKAR AND OTHER CALCAREOUSMINERALS INCLUDING CALCITE, CHALK",0.61,0.01,
934,PAVISARA GREENTECH PRIVATE LIMITED,U.S.A,Tikam Sujan,HYDERABAD,Research and experimental development on natural sciences and engineering,0.61,0.01,
935,TRIPOTO TRAVEL PRIVATE LIMITED,U.S.A,NEERAJ ARORA,NEW DELHI,"Operation of other websites that act as portals to the Internet, such as media sites providing periodically",1.08,0.02,
936,AICON INTALIA REALITY PVT LTD,U.S.A,VISHWANATH S MANI,MUMBAI,Construction of buildings carried out on own-account basis or on a fee or contract basis,0.20,0.00,
937,AICON INTALIA REALITY PVT LTD,U.S.A,vishwanath s mani,MUMBAI,Construction of buildings carried out on own-account basis or on a fee or contract basis,1.80,0.03,
938,AICON INTALIA REALITY PVT LTD,U.S.A,GEORGE VARAGHESE,MUMBAI,Construction of buildings carried out on own-account basis or on a fee or contract basis,5.61,0.09,
939,AICON INTALIA REALITY PVT LTD,U.S.A,GEORGE VARAGHESE,MUMBAI,Construction of buildings carried out on own-account basis or on a fee or contract basis,0.62,0.01,
940,AICON INTALIA REALITY PVT LTD,U.S.A,PRAJIT K DUTTA,MUMBAI,Construction of buildings carried out on own-account basis or on a fee or contract basis,5.61,0.09,
941,AICON INTALIA REALITY PVT LTD,U.S.A,PRAJIT K DUTTA,MUMBAI,Construction of buildings carried out on own-account basis or on a fee or contract basis,0.62,0.01,
942,AICON INTALIA REALITY PVT LTD,U.S.A,PRAJIT K DUTTA,MUMBAI,Construction of buildings carried out on own-account basis or on a fee or contract basis,0.91,0.01,
943,AICON INTALIA REALITY PVT LTD,U.S.A,VISHWANTHAN S MANI,MUMBAI,Construction of buildings carried out on own-account basis or on a fee or contract basis,3.59,0.06,
944,AICON INTALIA REALITY PVT LTD,U.S.A,PRAJIT K DUTTA,MUMBAI,Construction of buildings carried out on own-account basis or on a fee or contract basis,8.17,0.13,
945,AICON INTALIA REALITY PVT LTD,U.S.A,VISHWANTHAN S MANI,MUMBAI,Construction of buildings carried out on own-account basis or on a fee or contract basis,0.00,0.00,
946,M/S CONTINENTAL HOSPITALS,U.S.A,"Gleneagles Development Pte Ltd, USA",HYDERABAD,Hospital activities,"1,883.24",29.52,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
,LIMITED,,,,,,,
947,M/S MAKUTA EFFECTS PRIVATE LIMITED,U.S.A,Makuta Inc,HYDERABAD,Services of graphic designers,3.18,0.05,
948,MW HIGH TECH PROJECTS INDIA PVT LTD,U.S.A,M W Singapore Pte Ltd,HYDERABAD,Architectural and engineering activities and related technical consultancy,334.96,5.25,
949,M/S PHOENIX BUSINESS CONSULTING INDIA PV,U.S.A,Hanif Sarangi,HYDERABAD,Providing software support and maintenance to the clients,0.01,0.00,
950,M/S PHOENIX BUSINESS CONSULTING INDIA PV,U.S.A,Phoenix Business Inc,HYDERABAD,Providing software support and maintenance to the clients,0.16,0.00,
951,MAHI GRANITES PRIVATE LIMITED,U.S.A,Lotus International Company,HYDERABAD,Quarrying of granite,63.30,0.99,
952,BODHI BRANDSPRIVATE LIMITED,U.S.A,Ajit Ketkar,MUMBAI,"Manufacture of jewellery of gold, silver and other precious or base metal metal clad with precious metals",0.50,0.01,
953,HALYARD HEALTH INDIA PVT LTD,U.S.A,HALYARD HEALTH INC,MUMBAI,Wholesale of pharmaceutical and medical goods,185.00,2.90,
954,9EDGE TECHNOLOGIES PVT LTD,U.S.A,9EDGE INC,MUMBAI,Computer consultancy and computer facilities management activities,0.10,0.00,
955,"ARTEXT HOMES FASHIONS PVT.
LTD.- Now Sun",U.S.A,SUNHAM HOME FASHIONS LLC,MUMBAI,Manufacture of other textiles/textile products n.e.c.,1.84,0.03,
956,KLOUTIX SOLUTIONS PVT LTD,U.S.A,AKHILESH SINGH,MUMBAI,"Writing , modifying, testing of computer program to meet the needs of a particular client excluding web-page",0.90,0.01,
957,KLOUTIX SOLUTIONS PVT LTD,U.S.A,KUNAL MANGAL,MUMBAI,"Writing , modifying, testing of computer program to meet the needs of a particular client excluding web-page",0.60,0.01,
958,HAARTZ AUTOMOTIVE INDIA PVT LTD,U.S.A,HAARTZ CORPORATION,MUMBAI,"Manufacture of semi-finished of plastic products (plastic plates, sheets, blocks, film, foil, strip",42.42,0.66,
959,URICH TRAINING AND CONSULTATION SERVICES,U.S.A,JOHN DAVID URICH,JAIPUR,Management consultancy activities,0.05,0.00,
960,GRAM POWER (INDIA) PRIVATE LTD,U.S.A,GRAM POWER INC,JAIPUR,Electric power generation using solar energy,47.38,0.74,
961,INVECAS TECHNOLOGIES PRIVATE LIMITED,U.S.A,Invecas INC.,HYDERABAD,Computer consultancy and computer facilities management activities,62.08,0.97,
962,NCYCLO DECISON SCIENCES PVT LTD,U.S.A,"Ncyclo Crop,,",HYDERABAD,Providing software support and maintenance to the clients,0.60,0.01,
963,TRYON SOLUTIONS INDIA PVT LTD,U.S.A,"Tryon Solutions INC, USA",HYDERABAD,Providing software support and maintenance to the clients,0.90,0.01,
964,M/S CYBERABAD CITIZENS HEALTH SERVICES P,U.S.A,Rudraraju Panduranga Raju,HYDERABAD,Hospital activities,62.30,0.98,
965,TECH MAHINDRA LTD (MAHINDRA BRITISH TELE,U.S.A,VARADHARAJAN M S,MUMBAI,Computer consultancy and computer facilities management activities,0.01,0.00,
966,CLOUDMOYO INDIA PRIVATE LIMITED,U.S.A,CLOUDMOYO INC,MUMBAI,Other information technology and computer service activities n.e.c,0.10,0.00,
967,CLOUDMOYO INDIA PRIVATE LIMITED,U.S.A,ARTI DIGHE,MUMBAI,Other information technology and computer service activities n.e.c,0.00,0.00,
968,TECH MAHINDRA LTD (MAHINDRA BRITISH TELE,U.S.A,CHITTARANJAN NAYAK,MUMBAI,Computer consultancy and computer facilities management activities,0.00,0.00,
969,TRIPOTO TRAVEL PRIVATE LIMITED,U.S.A,ROMI MAHAJAN,NEW DELHI,"Operation of other websites that act as portals to the Internet, such as media sites providing periodically",0.17,0.00,
970,TECH MAHINDRA LTD (MAHINDRA BRITISH TELE,U.S.A,MANOJ KUMAR GUPTA,MUMBAI,Computer consultancy and computer facilities management activities,0.01,0.00,
971,SAMIKARAN LEARNING PRIVATE LTD,U.S.A,Futor Inc,NEW DELHI,Other educational services n.e.c.,4.60,0.07,
972,MY MOBILE PAYMENTS LTD,U.S.A,CALPIAN INC,MUMBAI,Activities of Internet access by the operator of the wireless infrastructure,147.72,2.32,
973,MY MOBILE PAYMENTS LTD,U.S.A,CALPIAN INC,MUMBAI,Activities of Internet access by the operator of the wireless infrastructure,82.66,1.30,
974,GIANA EDUCATION PRIVATE LIMITED,U.S.A,vidya Gopidas,MUMBAI,Pre-primary education (education preceding the first level),3.09,0.05,
975,GIANA EDUCATION PRIVATE LIMITED,U.S.A,DEEPAK R MUDAKAVI Jointly with SHANDOKH,MUMBAI,Pre-primary education (education preceding the first level),0.33,0.01,
976,IGRENENERGI SERVICES  PVT LTD,U.S.A,IGRENENERGI INC,MUMBAI,"Writing , modifying, testing of computer program to meet the needs of a particular client excluding web-page",18.50,0.29,
977,XESO HEALTHCARE PVT LTD,U.S.A,shah Mihir Bakulesh,MUMBAI,Other human health activities n.e.c. (including independent ambulance activities),0.08,0.00,
978,HCL TECHNOLOGIES LTD.,U.S.A,PUNEET M MODI,NEW DELHI,Providing software support and maintenance to the clients,0.02,0.00,
979,CERANA IMPORTS PRIVATE LIMITED,U.S.A,JATIN DEWANWALA,NEW DELHI,Wholesale of intoxicants like wines and liquors,1.23,0.02,
980,TECH MAHINDRA LTD (MAHINDRA BRITISH TELE,U.S.A,AMIT SHANKAR,MUMBAI,Computer consultancy and computer facilities management activities,0.10,0.00,
981,TECH MAHINDRA LTD (MAHINDRA BRITISH TELE,U.S.A,RAJENDRA PRASAD GUNDLURU,MUMBAI,Computer consultancy and computer facilities management activities,0.46,0.01,
982,TECH MAHINDRA LTD (MAHINDRA BRITISH TELE,U.S.A,SREEDHAR REDDY P,MUMBAI,Computer consultancy and computer facilities management activities,0.15,0.00,
983,TECH MAHINDRA LTD (MAHINDRA BRITISH TELE,U.S.A,TERENCE MASCARENHAS,MUMBAI,Computer consultancy and computer facilities management activities,0.02,0.00,
984,TECH MAHINDRA LTD (MAHINDRA BRITISH TELE,U.S.A,Y LAKSHMAN NAGESH,MUMBAI,Computer consultancy and computer facilities management activities,0.41,0.01,
985,TECH MAHINDRA LTD (MAHINDRA BRITISH TELE,U.S.A,Y LAKSHMAN NAGESH,MUMBAI,Computer consultancy and computer facilities management activities,0.01,0.00,
986,TECH MAHINDRA LTD (MAHINDRA BRITISH TELE,U.S.A,DESAI RAJU JAYANTILAL,MUMBAI,Computer consultancy and computer facilities management activities,0.46,0.01,
987,CERANA IMPORTS PRIVATE LIMITED,U.S.A,Jaideep Ravela,NEW DELHI,Wholesale of intoxicants like wines and liquors,1.24,0.02,
,,,,,,,,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
988,MARS INTERNATIONAL INDIA P. LTD.,U.S.A,MARS FOODS INC,NEW DELHI,"Manufacture of prepared feeds for pets, including dogs, cats, birds, fish etc.",1.34,0.02,
989,MARS INTERNATIONAL INDIA P. LTD.,U.S.A,MARS OVERSEAS HOLDINGS INC,NEW DELHI,"Manufacture of prepared feeds for pets, including dogs, cats, birds, fish etc.","1,550.83",24.31,
990,BODHI BRANDSPRIVATE LIMITED,U.S.A,Mayank Chamadia,MUMBAI,"Manufacture of jewellery of gold, silver and other precious or base metal metal clad with precious metals",1.50,0.02,
991,BODHI BRANDSPRIVATE LIMITED,U.S.A,Tola Capital SG LLC,MUMBAI,"Manufacture of jewellery of gold, silver and other precious or base metal metal clad with precious metals",0.60,0.01,
992,YTS SOLUTIONS PVT LTD,U.S.A,N Squared Management LLC,MUMBAI,Activities auxiliary to financial service activities n.e.c.,25.00,0.39,
993,KPIT TECHNOLOGIES LTD,U.S.A,ANAND CHELLAM,MUMBAI,"Writing , modifying, testing of computer program to meet the needs of a particular client excluding web-page",3.07,0.05,
994,CERANA IMPORTS PRIVATE LIMITED,U.S.A,Sandeep Bhadra,NEW DELHI,Wholesale of intoxicants like wines and liquors,0.31,0.00,
995,BODHI BRANDSPRIVATE LIMITED,U.S.A,Kedar Kulkarni,MUMBAI,"Manufacture of jewellery of gold, silver and other precious or base metal metal clad with precious metals",0.90,0.01,
996,CERANA IMPORTS PRIVATE LIMITED,U.S.A,Mash LLC,NEW DELHI,Wholesale of intoxicants like wines and liquors,0.61,0.01,
997,CERANA IMPORTS PRIVATE LIMITED,U.S.A,Ami Malaviya,NEW DELHI,Wholesale of intoxicants like wines and liquors,0.62,0.01,
998,CERANA IMPORTS PRIVATE LIMITED,U.S.A,Ambrish Tyagi,NEW DELHI,Wholesale of intoxicants like wines and liquors,0.62,0.01,
999,CERANA IMPORTS PRIVATE LIMITED,U.S.A,Andrew Widmann,NEW DELHI,Wholesale of intoxicants like wines and liquors,0.31,0.00,
1000,HERSHEY INDIA PVT LTD,U.S.A,HERSHEY INTERNATIONAL,MUMBAI,"Manufacture of fruit or vegetable juices and their concentrates, squashes and powder",300.00,4.70,
1001,BODHI BRANDSPRIVATE LIMITED,U.S.A,Rohit Joshi,MUMBAI,"Manufacture of jewellery of gold, silver and other precious or base metal metal clad with precious metals",0.60,0.01,
1002,BODHI BRANDSPRIVATE LIMITED,U.S.A,Shah Asset Management LLC,MUMBAI,"Manufacture of jewellery of gold, silver and other precious or base metal metal clad with precious metals",6.00,0.09,
1003,TECH MAHINDRA LTD (MAHINDRA BRITISH TELE,U.S.A,KRISHNA RAO THANDRA,MUMBAI,Computer consultancy and computer facilities management activities,0.13,0.00,
1004,FIRST TIME US PHARMACEUTICALS INDIA PVT,U.S.A,First Time US Generics LLC,MUMBAI,Research and experimental development on natural sciences and engineering,7.76,0.12,
1005,GPX INDIA PVT LTD,U.S.A,GPX GLOBAL SYSTEMS INC,MUMBAI,"Other data processing, hosting and related activities n.e.c.",0.61,0.01,
1006,TECH MAHINDRA LTD (MAHINDRA BRITISH TELE,U.S.A,ARVIND MALHOTRA,MUMBAI,Computer consultancy and computer facilities management activities,1.76,0.03,
1007,KPIT TECHNOLOGIES LTD,U.S.A,PRIYA BAL,MUMBAI,"Writing , modifying, testing of computer program to meet the needs of a particular client excluding web-page",0.24,0.00,
1008,WISHPOINT TECH PVT LTD,U.S.A,"WISHPOINT INC,",MUMBAI,Market research and public opinion polling,4.55,0.07,
1009,KOOL SOLUTIONS INDIA PVT LTD,U.S.A,KASCH INVESTMENT LLC,MUMBAI,Warehousing of refrigerated (cold storage),0.24,0.00,
1010,KOOL SOLUTIONS INDIA PVT LTD,U.S.A,KASCH INVESTMENTS LLC,MUMBAI,Warehousing of refrigerated (cold storage),2.16,0.03,
1011,KOOL SOLUTIONS INDIA PVT LTD,U.S.A,KASCH INVESTMENTS LLC,MUMBAI,Warehousing of refrigerated (cold storage),5.60,0.09,
1012,CIGNATTK HEALTH INSURANCE COMPANY LTD,U.S.A,CIGNA HOLDINGS INSURANCE INC,MUMBAI,Non-life insurance,182.55,2.86,
1013,HCL TECHNOLOGIES LTD.,U.S.A,Sandeep Kishore,NEW DELHI,Providing software support and maintenance to the clients,0.07,0.00,
1014,GREENHECK INDIA PVT LTD,U.S.A,GREENHECK FAN CORPORATION,NEW DELHI,Manufacture of other electrical equipment,110.88,1.74,
1015,TECH MAHINDRA LTD (MAHINDRA BRITISH TELE,U.S.A,Y LAKSHMAN NAGESH,MUMBAI,Computer consultancy and computer facilities management activities,0.81,0.01,
1016,TECH MAHINDRA LTD (MAHINDRA BRITISH TELE,U.S.A,SANJANWALA MANISH VIPUL,MUMBAI,Computer consultancy and computer facilities management activities,0.33,0.01,
1017,TECH MAHINDRA LTD (MAHINDRA BRITISH TELE,U.S.A,SANJANWALA MANISH VIPUL,MUMBAI,Computer consultancy and computer facilities management activities,0.61,0.01,
1018,AICON INTALIA REALITY PVT LTD,U.S.A,VISHWANTHAN S MANI,MUMBAI,Construction of buildings carried out on own-account basis or on a fee or contract basis,0.40,0.01,
1019,AICON INTALIA REALITY PVT LTD,U.S.A,VISHWANTHAN S MANI,MUMBAI,Construction of buildings carried out on own-account basis or on a fee or contract basis,0.01,0.00,
1020,SOLERA NETWORKS INDIA PVT LTD,U.S.A,SOLERA NETWORKS INC,MUMBAI,"Writing , modifying, testing of computer program to meet the needs of a particular client excluding web-page",0.10,0.00,
,,,,,,,,
1021,JOGURU TECHNOLOGIES PVT LTD,U.S.A,JOGURU INC,MUMBAI,"Writing , modifying, testing of computer program to meet the needs of a particular client excluding web-page",0.10,0.00,
1022,TRIPOTO TRAVEL PRIVATE LIMITED,U.S.A,NEERAJ ARORA,NEW DELHI,"Operation of other websites that act as portals to the Internet, such as media sites providing periodically",0.15,0.00,
1023,CITIXSYS TECH SOLUTIONS PRIVATE LTD,U.S.A,Citixsys Holdings Inc,NEW DELHI,Providing software support and maintenance to the clients,12.04,0.19,
1024,EGENCIA TRAVEL INDIA  PVT LTD (EAR EXPED,U.S.A,EGENCIA APAC HOLDINGS INC.,CHENNAI,Travel agency activities,124.56,1.95,
1025,AGI INFORMATION SERVICES PRIVATE LIMITED,U.S.A,Zheng Yu Huang,NEW DELHI,Management consultancy activities,0.05,0.00,
1026,AGI INFORMATION SERVICES PRIVATE LIMITED,U.S.A,Ite Theodore Lin,NEW DELHI,Management consultancy activities,0.05,0.00,
1027,CROSSLAY REMEDIES PVT LTD,U.S.A,ARUN NARULA,NEW DELHI,Other human health activities n.e.c. (including independent ambulance activities),4.46,0.07,
1028,CROSSLAY REMEDIES PVT LTD,U.S.A,DR AVTAR S ARORA,NEW DELHI,Other human health activities n.e.c. (including independent ambulance activities),0.22,0.00,
1029,CROSSLAY REMEDIES PVT LTD,U.S.A,DR ARUN NARULA,NEW DELHI,Other human health activities n.e.c. (including independent ambulance activities),5.40,0.08,
1030,CROSSLAY REMEDIES PVT LTD,U.S.A,AKHIL JAIN,NEW DELHI,Other human health activities n.e.c. (including independent,1.35,0.02,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
,,,,,ambulance activities),,,
1031,CROSSLAY REMEDIES PVT LTD,U.S.A,AKHIL JAIN,NEW DELHI,Other human health activities n.e.c. (including independent ambulance activities),7.74,0.12,
1032,CROSSLAY REMEDIES PVT LTD,U.S.A,) NEELAM NARULA,NEW DELHI,Other human health activities n.e.c. (including independent ambulance activities),11.37,0.18,
1033,CROSSLAY REMEDIES PVT LTD,U.S.A,DR NEELAM NARULA,NEW DELHI,Other human health activities n.e.c. (including independent ambulance activities),3.08,0.05,
1034,CROSSLAY REMEDIES PVT LTD,U.S.A,MS SAMTA BANSAL,NEW DELHI,Other human health activities n.e.c. (including independent ambulance activities),1.98,0.03,
1035,FHI 360 COMMUNITY CONSULTING SERVICES (I,U.S.A,FAMILY HEALTH INTERNATIONAL (AK FHI 360),NEW DELHI,Management consultancy activities,0.60,0.01,
1036,FHI 360 COMMUNITY CONSULTING SERVICES (I,U.S.A,fhi development 360 llc,NEW DELHI,Management consultancy activities,0.00,0.00,
1037,GOODPEOPLE CLOTHING COMPANY PRIVATE LIMI,U.S.A,Asha S Jadeja,NEW DELHI,"Retail sale of readymade garments, hosiery goods, other articles of clothing and clothing accessories",3.06,0.05,
1038,NICHE AGRICULTURE PVT LTD,U.S.A,Niche BUSINESS Consulting LLC,NEW DELHI,Growing of other tropical and sub tropical fruits,20.12,0.32,
1039,PUJA ENERGY VENTURES PVT LTD,U.S.A,"Sinha Capital LLC, USA",MUMBAI,Electric power generation using solar energy,52.28,0.82,
1040,MSD WELLCOME TRUST HILLEMAN LABORATORIES,U.S.A,MSD Laboratories India LLC,NEW DELHI,Research and experimental development on social sciences and humanities,80.00,1.25,
1041,TECH MAHINDRA LTD (MAHINDRA BRITISH TELE,U.S.A,PEEYUSH GOYAL,MUMBAI,Computer consultancy and computer facilities management activities,3.44,0.05,
1042,TECH MAHINDRA LTD (MAHINDRA BRITISH TELE,U.S.A,ARVIND MALHOTRA,MUMBAI,Computer consultancy and computer facilities management activities,0.05,0.00,
1043,TECH MAHINDRA LTD (MAHINDRA BRITISH TELE,U.S.A,ARVIND MALHOTRA,MUMBAI,Computer consultancy and computer facilities management activities,4.20,0.07,
1044,TECH MAHINDRA LTD (MAHINDRA BRITISH TELE,U.S.A,TERENCE MASCARENHAS,MUMBAI,Computer consultancy and computer facilities management activities,0.01,0.00,
1045,PUJA ENERGY VENTURES PVT LTD,U.S.A,"Sinha Capital LLC, USA",MUMBAI,Electric power generation using solar energy,10.49,0.16,
1046,TECH MAHINDRA LTD (MAHINDRA BRITISH TELE,U.S.A,DILBAGH SINGH GILL,MUMBAI,Computer consultancy and computer facilities management activities,0.40,0.01,
1047,TECH MAHINDRA LTD (MAHINDRA BRITISH TELE,U.S.A,PULLA RAO NUNNA,MUMBAI,Computer consultancy and computer facilities management activities,0.13,0.00,
1048,TECH MAHINDRA LTD (MAHINDRA BRITISH TELE,U.S.A,SAGI SAMPATH KUMAR,MUMBAI,Computer consultancy and computer facilities management activities,0.01,0.00,
1049,TECH MAHINDRA LTD (MAHINDRA BRITISH TELE,U.S.A,DILBAGH SINGH GILL,MUMBAI,Computer consultancy and computer facilities management activities,1.19,0.02,
1050,TECH MAHINDRA LTD (MAHINDRA BRITISH TELE,U.S.A,KRISHNAN SV,MUMBAI,Computer consultancy and computer facilities management activities,0.60,0.01,
1051,SOFTLAYER TECHNOLOGIES INDIA PRIVATE LIM,U.S.A,IBM WORLDTRADE INVESTMENTS B.V,BANGALORE,"Other data processing, hosting and related activities n.e.c.",0.10,0.00,
1052,M/S MAHEE IT SERVICES INDIA PVT LTD,U.S.A,Mahee Consulting Services Inc,HYDERABAD,Providing software support and maintenance to the clients,2.86,0.04,
1053,KPIT TECHNOLOGIES LTD,U.S.A,ANAND CHELLAM,MUMBAI,"Writing , modifying, testing of computer program to meet the needs of a particular client excluding web-page",0.85,0.01,
1054,PUNAM ENERGY PVT. LTD.,U.S.A,Harry R Halloran Jr.,KOLKATA,Manufacture of other electrical equipment,2.54,0.04,
,RICHARD DESIGN SERVICES INDIA PVT LTD,U.S.A,RICHARD DESIGN SERVICES INC,KOLKATA,Architectural and engineering activities and related technical consultancy,30.00,0.47,
1056,AISLE NETWORK PVT. LTD.,U.S.A,ANAND VIJAY,KOCHI,"Other data processing, hosting and related activities n.e.c.",0.64,0.01,
1057,TECH MAHINDRA LTD (MAHINDRA BRITISH TELE,U.S.A,SAURABH ATRE,MUMBAI,Computer consultancy and computer facilities management activities,0.39,0.01,
1058,DLI POWER (I) PVT LTD,U.S.A,DODSON LINDBLOM INTERNATIONAL INC,MUMBAI,Electric power generation by hydroelectric power plants,15.27,0.24,
1059,TECH MAHINDRA LTD (MAHINDRA BRITISH TELE,U.S.A,SAURABH ATRE,MUMBAI,Computer consultancy and computer facilities management activities,0.03,0.00,
1060,TECH MAHINDRA LTD (MAHINDRA BRITISH TELE,U.S.A,SAURABH ATRE,MUMBAI,Computer consultancy and computer facilities management activities,0.05,0.00,
1061,TECH MAHINDRA LTD (MAHINDRA BRITISH TELE,U.S.A,SURESH ATRE,MUMBAI,Computer consultancy and computer facilities management activities,0.67,0.01,
1062,HUBOT PRIVATE LIMITED,U.S.A,PARAS VIKRAM SHAH,AHMEDABAD,"Manufacture of plastic in primary forms (includes amino-resins, polyurethanes etc.)",1.08,0.02,
1063,HUBOT PRIVATE LIMITED,U.S.A,PRASHAM VIKRAM SHAH,AHMEDABAD,"Manufacture of plastic in primary forms (includes amino-resins, polyurethanes etc.)",1.02,0.02,
1064,SAPTHAGIRI HOSPITALITY PVT LTD,U.S.A,SAILESH A. GANDHI,AHMEDABAD,"Hotels and Motels, inns, resorts providing short term lodging facilities includes accommodation in house includes accommodation in house",6.26,0.10,
1065,WENZINS TECHNOLOGIES (INDIA) PRIVATE LIM,U.S.A,DAVID SENNING,BANGALORE,Publishing of operating systems and system software,3.09,0.05,
1066,SOMERSET EXPORTS PVT LTD,U.S.A,ARUNA PROJECT,MUMBAI,"MANUFACTURE OF PURSE, LADIES HANDBAGS, ARTISTIC LEATHER PRESENTED ARTICLESAND NOVELTIES",1.00,0.02,
1067,JASPER INFOTECH PVT LTD,U.S.A,BLACK ROCK GLOBAL OPPORTUNITIES V.I. FUN,NEW DELHI,Other information technology and computer service activities n.e.c,5.07,0.08,
1068,JASPER INFOTECH PVT LTD,U.S.A,BLACK ROCK INTERNATIONAL GROWTH AND INCO,NEW DELHI,Other information technology and computer service activities n.e.c,168.15,2.64,
1069,JASPER INFOTECH PVT LTD,U.S.A,BLACK ROCK INTERNATIONAL OPPORTUNITIES P,NEW DELHI,Other information technology and computer service activities n.e.c,316.45,4.96,
1070,JASPER INFOTECH PVT LTD,U.S.A,BLACK ROCK GLOBAL OPPORTUNITIES PORTFOLI,NEW DELHI,Other information technology and computer service activities n.e.c,34.22,0.54,
1071,JASPER INFOTECH PVT LTD,U.S.A,BLACKROCK SCIENCE &,NEW DELHI,Other information technology and computer service activities n.e.c,60.42,0.95,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
,,,TECHNOLOGY OPPORTUNI,,,,,
1072,JASPER INFOTECH PVT LTD,U.S.A,OPTIMUM INTERNATIONAL FUND,NEW DELHI,Other information technology and computer service activities n.e.c,59.99,0.94,
1073,YTS SOLUTIONS PVT LTD,U.S.A,N SQUARED MANGEMENT LLC,MUMBAI,Activities auxiliary to financial service activities n.e.c.,0.00,0.00,
1074,JASPER INFOTECH PVT LTD,U.S.A,THE ENTRUST GROUP INC,NEW DELHI,Other information technology and computer service activities n.e.c,5.92,0.09,
1075,JASPER INFOTECH PVT LTD,U.S.A,SAAMA CAPITAL US ADVISORS,NEW DELHI,Other information technology and computer service activities n.e.c,123.91,1.94,
1076,JASPER INFOTECH PVT LTD,U.S.A,ANAND VENKY LLC,NEW DELHI,Other information technology and computer service activities n.e.c,9.40,0.15,
1077,JASPER INFOTECH PVT LTD,U.S.A,KENNETH GLASS,NEW DELHI,Other information technology and computer service activities n.e.c,6.01,0.09,
1078,INQUIRLY TECHNOLOGIES PRIVATE LIMITED,U.S.A,ABANESHWAR PRASAD,BANGALORE,Providing software support and maintenance to the clients,1.54,0.02,
1079,SOFTLAYER TECHNOLOGIES INDIA PRIVATE LIM,U.S.A,IBM INTERNATIONAL GROUP B.V,BANGALORE,"Other data processing, hosting and related activities n.e.c.",0.00,0.00,
1080,WORLD WATER WORKS INDIA PVT LTD,U.S.A,WORLD WATER WORKS HOLDINGS INC,BANGALORE,"Treatment of waste water or sewer by means of physical, chemical or biological processes",1.58,0.02,
