Table No. 19 (c),,,,,,,,,,
"STATEMENT ON REMITTANCE-WISE DETAILS OF FDI EQUITY INFLOWS
UNDER RBI’s AUTOMATIC ROUTE
5,,,,"education in the second stage of the secondary level (Senior/Higher secondary) giving, in principle, access to
higher education","Fund, Inc.",,,,the Company,
"294
6",Think & Learn Private Limited,KARNATAKA,Bengaluru,"General school education in the second stage of the secondary level (Senior/Higher secondary) giving, in principle, access to
higher education",T. Rowe Price Growth Stock Trust,U.S.A,"1,837.93",25.09,Received in the Company,
"294
7",Think & Learn Private Limited,KARNATAKA,Bengaluru,"General school education in the second stage of the secondary level (Senior/Higher secondary) giving, in principle, access to higher education",Baron Emerging Markets Fund,U.S.A,"3,639.32",49.67,Received in the Company,
"294
8",Think & Learn Private Limited,KARNATAKA,Bengaluru,"General school education in the second stage of the secondary level (Senior/Higher secondary) giving, in principle, access to
higher education",Baron Global Advantage Fund,U.S.A,"2,183.73",29.80,Received in the Company,
"294
9",Think & Learn Private Limited,KARNATAKA,Bengaluru,"General school education in the second stage of the secondary level (Senior/Higher secondary) giving, in
principle, access to higher education",Footpath Ventures SPV III LP,Cayman Islands,"4,278.46",58.39,Received in the Company,
"295
0",Think & Learn Private Limited,KARNATAKA,Bengaluru,"General school education in the second stage of the secondary level (Senior/Higher secondary) giving, in principle, access to
higher education","TIGA (India), LP",U.S.A,"1,046.42",14.28,Received in the Company,
"295
1",Think & Learn Private Limited,KARNATAKA,Bengaluru,General school education in the,"TCDS (India), LP",U.S.A,448.57,6.12,Received in the,
,,,,"second stage of the secondary level (Senior/Higher secondary) giving, in principle, access to higher education",,,,,Company,
"295
2",Think & Learn Private Limited,KARNATAKA,Bengaluru,"General school education in the second stage of the secondary level (Senior/Higher secondary) giving, in principle, access to higher education",SLP Beta Holdings Cayman Ltd,Cayman Islands,"7,360.99",100.47,Received in the Company,
"295
3",Think & Learn Private Limited,KARNATAKA,Bengaluru,"General school education in the second stage of the secondary level (Senior/Higher secondary) giving, in principle, access to
higher education",The Prudential Assurance Company Limited,United Kingdom,"4,341.59",59.26,Received in the Company,
"295
4",Think & Learn Private Limited,KARNATAKA,Bengaluru,"General school education in the second stage of the secondary level (Senior/Higher secondary) giving, in principle, access to
higher education","GSV BY, L.P.",U.S.A,220.72,3.01,Received in the Company,
"295
5",Think & Learn Private Limited,KARNATAKA,Bengaluru,"General school education in the second stage of the secondary level (Senior/Higher secondary) giving, in principle, access to
higher education",Olayan Investments Singapore Pte. Ltd.,Singapore,"1,833.42",25.02,Received in the Company,
"295
6",Think & Learn Private Limited,KARNATAKA,Bengaluru,"General school education in the second stage of the secondary level (Senior/Higher secondary) giving, in principle, access to higher education",T. Rowe Price Global Growth Equity Trust,U.S.A,172.78,2.36,Received in the Company,
"295
7",THINK AI INDIA CONSULTING PRIVATE LIMITED,MADHYA PRADESH,Indore,"Management
consultancy activities",DEVENDRA GOYAL,U.S.A,0.10,0.00,"Received in
the Company",
"295
8",THINK AI INDIA CONSULTING PRIVATE LIMITED,MADHYA PRADESH,Indore,Management consultancy activities,MANISH BHARDIA,U.S.A,0.10,0.00,Received in the Company,
"295
9",THINK AI INDIA CONSULTING PRIVATE LIMITED,MADHYA PRADESH,Indore,Management consultancy activities,DEVENDRA GOYAL,U.S.A,0.01,0.00,Received in the Company,
"296
0",THINK AI INDIA CONSULTING PRIVATE LIMITED,MADHYA PRADESH,Indore,Management consultancy activities,MANISH BHARDIA,U.S.A,0.01,0.00,Received in the Company,
"296
1",THINK GAS BEGUSARAI PRIVATE LIMITED,DELHI,East Delhi,Distribution and sale of gaseous fuels through mains,THINK Gas Investments Pte. Ltd.,Singapore,89.90,1.21,Received in the Company,
"296
2",THINK GAS BHOPAL PRIVATE LIMITED,DELHI,North West Delhi,"Distribution and sale
of gaseous fuels through mains",THINK Gas Investments Pte. Ltd.,Singapore,145.00,1.95,"Received in
the Company",
"296
3",THINK GAS BHOPAL PRIVATE LIMITED,DELHI,North West Delhi,"Distribution and sale of gaseous fuels
through mains",THINK Gas Investments Pte. Ltd.,Singapore,92.80,1.25,"Received in the
Company",
"296
4",THINK GAS LUDHIANA PRIVATE LIMITED,DELHI,East Delhi,Distribution and sale of gaseous fuels through mains,THINK Gas Investments Pte. Ltd.,Singapore,558.25,7.50,Received in the Company,
"296
5",THINK GAS LUDHIANA PRIVATE LIMITED,DELHI,East Delhi,Distribution and sale of gaseous fuels through mains,THINK Gas Investments Pte. Ltd.,Singapore,163.12,2.19,Received in the Company,
"296
6",THINK LNG INVESTMENTS PRIVATE LIMITED,DELHI,East Delhi,"Distribution and sale
of gaseous fuels through mains",Asia LNG Infrastructure Investments Pte. Ltd.,Singapore,72.80,0.98,"Received in
the Company",
"296
7",THINK LNG INVESTMENTS PRIVATE LIMITED,DELHI,East Delhi,Distribution and sale of gaseous fuels through mains,Asia LNG Infrastructure Investments Pte. Ltd.,Singapore,72.50,0.99,Received in the Company,
"296
8",THINK LNG INVESTMENTS PRIVATE LIMITED,DELHI,East Delhi,"Distribution and sale of gaseous fuels
through mains",Asia LNG Infrastructure Investments Pte. Ltd.,Singapore,0.00,0.00,"Received in the
Company",
"296
9",THINKLAYER MINDS PRIVATE LIMITED,KARNATAKA,Bengaluru,"Computer consultancy and computer facilities management
activities",Siva Misra,U.S.A,9.07,0.12,Received in the Company,
"297
0",THISCONNECT SOLUTIONS PRIVATE LIMITED,UTTAR PRADESH,Gautam Buddha Nagar,"Market research and
public opinion polling",TRINITY PRINT AND MEDIA INC.,U.S.A,1.80,0.02,"Received in
the Company",
"297
1",THRIVEPASS INDIA PRIVATE LIMITED,DELHI,North West Delhi,"Other information technology and computer service
activities n.e.c",Wellness by Wishlist Inc,U.S.A,0.15,0.00,Received in the Company,
"297
2",THUBANNA PRIVATE LIMITED,DELHI,Central Delhi,Other amusement and recreation,LEIGH DAVID RILEY,Australia,0.53,0.01,GREENFIE LD,
,,,,activities n.e.c.,,,,,,
"297
3",thyssenkrupp Electrical Steel India Private Limited,MAHARASHT RA,Nashik,"Forging, pressing, stamping and roll- forming of metal;
powder metallurgy",THYSSENKRUPP ELECTRICAL STEEL GMBH,Germany,"1,000.00",13.43,Received in the Company,
"297
4",TIANYI TECHNOLOGY PRIVATE LIMITED,DELHI,South Delhi,Other amusement and recreation activities n.e.c.,FENG CHIA TSAO,Taiwan,0.08,0.00,Received in the Company,
"297
5",TIANYI TECHNOLOGY PRIVATE LIMITED,DELHI,South Delhi,"Other amusement and recreation
activities n.e.c.",R PLUS CONCEPT DESIGN,Taiwan,0.02,0.00,"Received in the
Company",
"297
6",TICTOK SKILL GAMES PRIVATE LIMITED,DELHI,South Delhi,Other creative arts and entertainment activities,"THE STUART PARTNERS, LLC",U.S.A,75.00,1.02,Received in the Company,
"297
7",TIGER STEEL ENGINEERING (INDIA) PRIVATE LIMITED,MAHARASHT RA,Thane,Manufacture of other fabricated metal products n.e.c.,TSI Metal Industries LLC,UAE,22.41,0.30,Received in the Company,
"297
8",TIGRIS ENVIRONMENT INDIA PRIVATE LIMITED,MAHARASHT RA,Pune,"Renting and operational leasing, without operator, of other machinery and equipment that are generally used as
capital goods by industries",TIGRIS WATER COMPANY PTE LIMITED,Singapore,0.00,0.00,Received in the Company,
"297
9",TIGRIS ENVIRONMENT INDIA PRIVATE LIMITED,MAHARASHT RA,Pune,"Renting and operational leasing, without operator, of other machinery and equipment that are generally used as capital goods by
industries",TIGRIS WATER COMPANY PTE LTD,Singapore,0.10,0.00,Received in the Company,
"298
0",TIKI TAR AND SHELL INDIA PRIVATE LIMITED,MAHARASHT RA,Mumbai,"Manufacture of other petroleum n.e.c.(includes manufacture of petroleum jelly, micro-crystalline petroleum wax, slack wax, ozokerite, lignite wax,petroleum coke, petroleum bitumin and other residues of petroleum oils or
of oils obtained from bituminous mi",SHELL GAS B.V,Netherland,35.00,0.47,Received in the Company,
"298
1",timbertruss design private limited,TAMIL NADU,Coimbatore,"Architectural and engineering activities and related
technical consultancy",BOWEN HOLDINGS (1980) PTY. LTD.,Australia,0.00,0.00,Received in the Company,
"298
2",timbertruss design private limited,TAMIL NADU,Coimbatore,"Architectural and engineering activities and related technical
consultancy",BOWEN AND POMEROY PTY LTD,Australia,0.00,0.00,Received in the Company,
"298
3",Tin Car Technologies Private Limited,GUJARAT,Ahmedabad,"Providing software support and maintenance to the
clients",Tin Car Capital Pty Ltd,Australia,0.10,0.00,Received in the Company,
"298
4",TINTESS PRIVATE LIMITED,DELHI,South Delhi,"Other professional, scientific and technical activities n.e.c.",AHPT LLC,U.S.A,1.40,0.02,Received in the Company,
"298
5",TITAN ASIA PRIVATE LIMITED,MAHARASHT RA,Raigarh(MH),"Manufacture of other
special-purpose machinery n.e.c.",Titan Aviation SA,France,1.80,0.02,"Received in
the Company",
"298
6",TITANIUM FORTUNE FINANCIAL SERVICES PRIVATE LIMITED,DELHI,South Delhi,Other monetary intermediation services n.e.c.,Morus Technologies PTE. LTD.,Singapore,21.99,0.30,Received in the Company,
"298
7",TITANIUM FORTUNE FINANCIAL SERVICES PRIVATE LIMITED,DELHI,South Delhi,"Other monetary intermediation
services n.e.c.",Morus Technologies PTE. LTD.,Singapore,0.10,0.00,"Received in the
Company",
"298
8",TOP SOLVENT INDIA CHEMTRADE PRIVATE LIMITED,MAHARASHT RA,Mumbai,"Wholesale of solid, liquid and gaseous
fuels and related products",JAYASHREE SHEKHAR KINJAVDEKAR,Singapore,0.00,0.00,Received in the Company,
"298
9",TOP SOLVENT INDIA CHEMTRADE PRIVATE LIMITED,MAHARASHT RA,Mumbai,"Wholesale of solid, liquid and gaseous fuels and related
products",JSKEM PRIVATE LIMITED,Singapore,0.10,0.00,Received in the Company,
"299
0",TOPPO AND CHRISTENSEN TRADING PRIVATE LIMITED,WEST BENGAL,Jalpaiguri,Wholesale trade via e-commerce excluding activities of commission agents,KC INWEST WORLDWIDE APS,Denmark,0.51,0.01,Received in the Company,
"299
1",Toppr Technologies Private Limited,MAHARASHT RA,Mumbai,EDUCATION,Learn 2 Holdings Limited,UAE,0.63,0.01,Received in the Company,
"299
2",Toppr Technologies Private Limited,MAHARASHT RA,Mumbai,EDUCATION,Learn 2 Holdings Limited,UAE,188.19,2.53,Received in the Company,
"299
3",Toppr Technologies Private Limited,MAHARASHT RA,Mumbai,EDUCATION,"Helion Venture Partners India III, LLC",Mauritius,37.00,0.50,Received in the,
,,,,,,,,,Company,
"299
4",Toppr Technologies Private Limited,MAHARASHT RA,Mumbai,EDUCATION,EIGHT ROADS INVESTMENTS MAURITIUS II LTD,Mauritius,37.00,0.50,"Received in the
Company",
"299
5",Toppr Technologies Private Limited,MAHARASHT RA,Mumbai,EDUCATION,Learn 2 Holdings Limited,UAE,36.07,0.49,Received in the Company,
"299
6",Toppr Technologies Private Limited,MAHARASHT RA,Mumbai,EDUCATION,Learn 2 Holdings Ltd,UAE,72.56,0.99,Received in the Company,
"299
7",TOPPS INDIA SPORTS & ENTERTAINMENT COMPANY PRIVATE LIMITED,MAHARASHT RA,Mumbai,"Wholesale of other households goods,
n.e.c. [Includes wholesale of household equipment and appliances, n.e.c; photographic equipment, games, toys and sports goods (also includes bicycles, cycle ricksh",Topps Singapore Holding Pte. Ltd,Singapore,5.00,0.07,Received in the Company,
"299
8",TOPPS INDIA SPORTS & ENTERTAINMENT COMPANY PRIVATE LIMITED,MAHARASHT RA,Mumbai,"Wholesale of other households goods,
n.e.c. [Includes wholesale of household equipment and appliances, n.e.c; photographic equipment, games, toys and sports goods (also includes bicycles, cycle
ricksh",Topps Singapore Holding Pte. Ltd,Singapore,10.00,0.14,Received in the Company,
"299
9",TOPPS INDIA SPORTS & ENTERTAINMENT COMPANY PRIVATE LIMITED,MAHARASHT RA,Mumbai,"Wholesale of other households goods,
n.e.c. [Includes wholesale of household equipment and appliances, n.e.c; photographic equipment, games, toys and sports goods (also includes
bicycles, cycle ricksh",Topps Singapore Holdings Pte. Ltd.,Singapore,5.00,0.07,Received in the Company,
"300
0",TORFAC INDIA PRIVATE LIMITED,HARYANA,Gurgaon,Telephone based information services,Gaurav Agarwal,Canada,0.10,0.00,Received in the Company,
"300
1",TORTUGA WEALTH MANAGERS PRIVATE LIMITED,MAHARASHT RA,Mumbai,"Other financial service activities, except insurance and pension funding
activities, n.e.c.",SECURCAP LIMITED,Belgium,2.50,0.03,Received in the Company,
"300
2",TOTAL DENTAL CARE PRIVATE LIMITED,MAHARASHT RA,Mumbai,Dental practice activities,LGT CAPITAL INVEST MAURITIUS PCC,Mauritius,0.03,0.00,Received in the Company,
"300
3",TOTALITY MEDIA PRIVATE LIMITED,DELHI,East Delhi,"Computer consultancy and computer facilities management
activities",TOTALITY CORP PTE,Singapore,22.49,0.30,Received in the Company,
"300
4",TOUAX TEXMACO RAILCAR LEASING PRIVATE LIMITED,WEST BENGAL,North 24 Parganas,"Renting and operational leasing, without operator, of other machinery and equipment that are generally used as capital goods by
industries",TOUAX RAIL INDIA LIMITED,Ireland,110.00,1.50,Received in the Company,
"300
5",TOUAX TEXMACO RAILCAR LEASING PRIVATE LIMITED,WEST BENGAL,North 24 Parganas,"Renting and operational leasing, without operator, of other machinery and equipment that are generally used as capital goods by industries",TOUAX RAIL INDIA LIMITED,Ireland,58.32,0.80,Received in the Company,
"300
6",Touchkin Eservices Private Limited,KARNATAKA,Bengaluru,"Other information technology and computer service
activities n.e.c",W Health Global Series LLC - Series 1,U.S.A,0.09,0.00,Received in the Company,
"300
7",Touchkin Eservices Private Limited,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,W Health Global Series LLC - Series 1,U.S.A,233.83,3.18,Received in the Company,
"300
8",TOYODA GOSEI MINDA INDIA PRIVATE LIMITED,RAJASTHAN,Alwar,Manufacture of other rubber products,Toyoda Gosei Co. Ltd.,Japan,350.70,4.79,Received in the Company,
"300
9",TOYOTA INDUSTRIES ENGINE INDIA PRIVATE LIMITED,KARNATAKA,BENGALURU,Manufacture of motor vehicle engines,TOYOTA INDUSTRIES CORPORATION,Japan,"2,471.19",33.18,BROWNFIE LD,
"301
0",TPF ENGINEERING PVT LTD,MAHARASHT RA,THANE,Architectural and engineering,T P F SA,Belgium,0.05,0.00,Received in the,
,,,,activities and related technical consultancy,,,,,Company,
"301
1",TQS INTEGRATION PRIVATE LIMITED,TELANGANA,Hyderabad,Other information technology and computer service activities n.e.c,TQS INTEGRATION LIMITED,Ireland,1.00,0.01,Received in the Company,
"301
2",TRACK DESIGN INDIA PRIVATE LIMITED,TAMIL NADU,Chennai,"Manufacture of other machinery for mining, quarrying and construction n.e.c.",Daechang Forging Co. Ltd,South Korea,80.00,1.09,Received in the Company,
"301
3",TRACK DESIGN INDIA PRIVATE LIMITED,TAMIL NADU,Chennai,"Manufacture of other machinery for mining, quarrying and construction n.e.c.",Shinsho Corporation,Japan,40.00,0.54,Received in the Company,
"301
4",TRADECORPROVENSAINDIAPRIVATE LIMITED,MAHARASHT RA,Pune,Other business support service activities n.e.c,Ascenza Agro SA,Portugal,0.01,0.00,Received in the Company,
"301
5",TRADECORPROVENSAINDIAPRIVATE LIMITED,MAHARASHT RA,Pune,Other business support service activities n.e.c,Trade Corporation International SA,Spain,0.09,0.00,Received in the Company,
"301
6",TRADESOCIO INDIA PRIVATE LIMITED,MAHARASHT RA,Thane,"Writing, modifying, testing of computer program to meet the needs of a particular client excluding
web-page designing",TRADESOCIO PTE LTD,Singapore,10.97,0.15,Received in the Company,
"301
7",TRAILER LOUAULT INDIA PRIVATE LIMITED,MAHARASHT RA,Pune,"Manufacture of trailers and semi- trailers for transport of goods or
passengers",CLEANDRE,France,2.60,0.04,Received in the Company,
"301
8",TRANSACTION ANALYSTS (INDIA) PRIVATE LIMITED,TELANGANA,Hyderabad,"Writing, modifying, testing of computer program to meet the needs of a particular client excluding
web-page designing",Aegle Consulting S R O,Czech Republic,3.66,0.05,Received in the Company,
"301
9",TRANSACTION ANALYSTS (INDIA) PRIVATE LIMITED,TELANGANA,Hyderabad,"Writing, modifying, testing of computer program to meet the needs of a particular client excluding
web-page designing",Aegle Consulting S R O,Czech Republic,12.96,0.17,Received in the Company,
"302
0",TRANSFORMATIVE LEARNING SOLUTIONS PRIVATE LIMITED,DELHI,South Delhi,Other non- specialised,KARAN SINGH THAKRAL,Singapore,77.55,1.05,Received in the,
,,,,wholesale trade n.e.c.,,,,,Company,
"302
1",TRAVANCORE HEART INSTITUTE PRIVATE LIMITED,KERALA,Thiruvananthapuram,Hospital activities,Raja Mohan Chakrapani,U.S.A,14.46,0.19,"Received in
the Company",
"302
2",TRAVCLAN TECHNOLOGY INDIA PRIVATE LIMITED,DELHI,South West Delhi,Other reservation service and related activities,Travclan Global Services Private Limited,Singapore,14.53,0.20,Received in the Company,
"302
3",TRAVERSE INTERNATIONAL INDIA PRIVATE LIMITED,TAMIL NADU,Kanchipuram,"Wholesale of construction and civil engineering machinery and
equipment",KRISHNAN HARIHARAN,Singapore,2.13,0.03,Received in the Company,
"302
4",TRAVERSE INTERNATIONAL INDIA PRIVATE LIMITED,TAMIL NADU,Kanchipuram,"Wholesale of construction and civil engineering machinery and
equipment",MURUGADURAI C,Singapore,2.13,0.03,Received in the Company,
"302
5",TRAWEALTH INDIA PRIVATE LIMITED,Karnataka,Bengaluru,Tour operator activities,SANJAY SHETTY,U.S.A,22.99,0.31,Received in the Company,
"302
6",TRES COMMAS TECHNOLOGIES PRIVATE LIMITED,KARNATAKA,Bengaluru,"Other information technology and
computer service activities n.e.c",THREEDOTS INC,U.S.A,21.90,0.29,Received in the Company,
"302
7",TREVISAN INDIA PRIVATE LIMITED,TAMIL NADU,Coimbatore,"Wholesale of machinery and equipment for the
textile, wood and metal industries etc.",Trevisan Macchine Utensili S.p.A,Italy,3.40,0.05,Received in the Company,
"302
8",TREVISAN INDIA PRIVATE LIMITED,TAMIL NADU,Coimbatore,"Wholesale of machinery and equipment for the textile, wood and
metal industries etc.",Trevisan Macchine Utensili S.p.A,Italy,6.80,0.09,Received in the Company,
"302
9",Trimble Mobility Solutions India Ltd,Maharashtra,Mumbai Suburban,"Manufacture Of Data Communications Equipment, Such As Bridges, Routers,
And Gateways",Trimble Europe BV,Netherland,5.44,0.07,BROWNFIE LD,
"303
0",TRINKERR LEARNING TECHNOLOGIES PRIVATE LIMITED,KARNATAKA,Bengaluru,"Other information technology and computer service
activities n.e.c",ACCEL INDIA VI (MAURITIUS) LTD,Mauritius,74.96,1.02,Received in the Company,
"303
1",TRINKERR LEARNING TECHNOLOGIES PRIVATE LIMITED,KARNATAKA,Bengaluru,Other information technology and computer service,ACCEL INDIA VI (MAURITIUS) LTD,Mauritius,0.05,0.00,Received in the Company,
,,,,activities n.e.c,,,,,,
"303
2",TRIOMICS HEALTHCARE PRIVATE LIMITED,UTTAR PRADESH,Gautam Buddha Nagar,"Other information service activities
n.e.c.",TRIOMICS INC,U.S.A,36.71,0.50,"Received in the
Company",
"303
3",Triumph Technology Services Private Limited,MAHARASHT RA,Mumbai,Other information technology and computer service activities n.e.c,RAKESH KUMAR JHA,UAE,5.00,0.07,Received in the Company,
"303
4",TROPICAL FOOD TECHNOLOGIES PRIVATE LIMITED,KERALA,Pathanamthitta,"Manufacture of fruit or vegetable juices and their concentrates, squashes and
powder",Horizon Group Limited,Bulgaria,0.52,0.01,Received in the Company,
"303
5",Tropicool Foods Private Limited,KARNATAKA,Dharwad,"Preservation of fruit
and vegetables n.e.c.",URBANINVEST SA,Luxembour g,12.92,0.18,"Received in
the Company",
"303
6",TRUE NORTH MANAGEMENT ADVISORY PRIVATE LIMITED,KERALA,Thiruvananthapuram,Management consultancy activities,Kolangikombil Oomen Mathew,Kuwait,0.10,0.00,Received in the Company,
"303
7",TRUSOURCE TECHNOLOGY PRIVATE LIMITED,KARNATAKA,Bengaluru,Retail sale via e- commerce,"Tanglin Venture Fund I, LLC",Cayman Islands,25.00,0.34,Received in the Company,
"303
8",TRUSOURCE TECHNOLOGY PRIVATE LIMITED,KARNATAKA,Bengaluru,Retail sale via e- commerce,Nand Kishore Jha,U.S.A,10.01,0.14,Received in the Company,
"303
9",TRUSTED SEED PRODUCTION PRIVATE LIMITED,KARNATAKA,Ballari,"Agricultural activities on a fee or contract basis (preparation of fields, establishing a crop, treatment of crops, crop spraying, trimming of fruit trees and vines, transplanting of rice, thinning of beets, harvesting,
pest control in connection with agr",JAMES RICKARD,Switzerland,3.56,0.05,Received in the Company,
"304
0",TUF-M SOLUTIONS PRIVATE LIMITED,TELANGANA,K.V.Rangareddy,Wholesale of software,REV LLC,U.S.A,0.10,0.00,Received in the Company,
"304
1",TUI INDIA PRIVATE LIMITED,DELHI,Central Delhi,Tour operator activities,TUI SPAIN S.L.U.,Spain,216.25,2.90,"Received in the
Company",
"304
2",TUI INDIA PRIVATE LIMITED,DELHI,Central Delhi,Tour operator activities,TUI Spain S.L.U,Spain,87.00,1.18,Received in the Company,
"304
3",Tulita Ahara Private Limited,TAMIL NADU,Coimbatore,"Retail sale of meat, meat products, poultry products,
fish, other seafood and products thereof",Tibcorp International Pte Ltd,Singapore,9.48,0.13,Received in the Company,
"304
4",TULSEA MEDIA PRIVATE LIMITED,MAHARASHT RA,Thane,"Post production activities of motion
picture",Tulsea Inc,U.S.A,1.00,0.01,"Received in the
Company",
"304
5",TURPENTINE TECHNOLOGIES PRIVATE LIMITED,HARYANA,Gurgaon,OTHER EDUCATIONAL SERVICES N.E.C.,Acadly Inc.,U.S.A,2.24,0.03,Received in the Company,
"304
6",TURTLE SHELL TECHNOLOGIES PRIVATE LIMITED,KARNATAKA,Bengaluru,"Other information technology and computer service
activities n.e.c",Seabright III Limited,Mauritius,14.54,0.20,Received in the Company,
"304
7",TURTLE SHELL TECHNOLOGIES PRIVATE LIMITED,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,Seabright III Ltd.,Mauritius,127.42,1.73,Received in the Company,
"304
8",TVS INDUSTRIAL & LOGISTICS PARKS PRIVATE LIMITED,MAHARASHT RA,Mumbai,"Real estate activities with own or leased
property",CDC GROUP PLC,United Kingdom,0.04,0.00,"Received in the
Company",
"304
9",TVS INDUSTRIAL & LOGISTICS PARKS PRIVATE LIMITED,MAHARASHT RA,Mumbai,Real estate activities with own or leased property,CDC GROUP PLC,United Kingdom,"1,999.96",26.86,Received in the Company,
"305
0",TVS INDUSTRIAL & LOGISTICS PARKS PRIVATE LIMITED,MAHARASHT RA,Mumbai,Real estate activities with own or leased property,CDC GROUP PLC,United Kingdom,500.00,6.71,Received in the Company,
"305
1",TWC HENDERSON ISLAND PRIVATE LIMITED,MAHARASHT RA,Pune,"Treatment and
disposal of non- hazardous waste",The Waste Company Sweden AB,Sweden,0.10,0.00,Greenfield,
"305
2",TWEKESBURY HOSPITALITY PRIVATE LIMITED,UTTAR PRADESH,Kanpur Nagar,Manufacture of prepared meals and dishes,Carrington Oliver John Limited,United Kingdom,1.00,0.01,Received in the Company,
"305
3",TWID REWARDS GLOBAL PRIVATE LIMITED,KARNATAKA,Bengaluru,"Other information technology and computer service
activities n.e.c",Twid Pay Global Pte Ltd,Singapore,0.01,0.00,Received in the Company,
"305
4",TWID REWARDS GLOBAL PRIVATE LIMITED,KARNATAKA,Bengaluru,"Other information technology and computer service
activities n.e.c",M/s. Twid Pay Global Pte Ltd,Singapore,13.77,0.19,Received in the Company,
"305
5",TWO OCEANS STRATEGY INDIA PRIVATE LIMITED,DELHI,West Delhi,"Management
consultancy activities",TWO OCEANS STRATEGY LIMITED,United Kingdom,1.00,0.01,"Received in
the Company",
"305
6",UEM PISTONS PRIVATE LIMITED,ANDHRA PRADESH,Krishna,"Manufacture of engines and turbines, except",UNITED ENGINE AND MACHINE COMPANY,U.S.A,5.84,0.08,Received in the Company,
,,,,"aircraft, vehicle and cycle engines",,,,,,
"305
7",UKAMA PRIVATE LIMITED,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,Ukama Inc.,U.S.A,0.01,0.00,Received in the Company,
"305
8",ULTRA GAS & ENERGY LIMITED,MAHARASHT RA,Mumbai,Services incidental to on shore gas extraction,ULTRA GAS MAURITIUS LTD,Mauritius,19.72,0.27,Received in the Company,
"305
9",ULTRA GAS LIMITED,MAHARASHT RA,Mumbai,Services incidental to on shore gas extraction,ULTRA GAS MAURITIUS LTD,Mauritius,12.41,0.17,Received in the Company,
"306
0",ULTRA GAS LIMITED,MAHARASHT RA,Mumbai,"Services incidental
to on shore gas extraction",ULTRA GAS MAURITIUS LTD,Mauritius,39.04,0.53,"Received in
the Company",
"306
1",ULTRASWIFT AUTONETICS PRIVATE LIMITED,TAMIL NADU,Krishnagiri,"Manufacture of other special-purpose
machinery n.e.c.",PUJA SURI,Canada,0.04,0.00,"Received in the
Company",
"306
2",ULTRASWIFT AUTONETICS PRIVATE LIMITED,TAMIL NADU,Krishnagiri,Manufacture of other special-purpose machinery n.e.c.,RAMESH CHANDER SURI,Canada,0.04,0.00,Received in the Company,
"306
3",UNBOXROBOTICS LABS PRIVATE LIMITED,KARNATAKA,Bengaluru,"Other information technology and computer service
activities n.e.c",BEENEXT EMERGING ASIA PTE LTD,Singapore,14.62,0.20,Received in the Company,
"306
4",UNBOXROBOTICS LABS PRIVATE LIMITED,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,ENTREPRENEUR FIRST (GLOBAL) L.P.,United Kingdom,6.19,0.08,Received in the Company,
"306
5",UNBOXROBOTICS LABS PRIVATE LIMITED,KARNATAKA,Bengaluru,"Other information technology and
computer service activities n.e.c",SOSV IV LLC,U.S.A,7.29,0.10,Received in the Company,
"306
6",Uncanny Vision Solutions Private Limited,KERALA,Thrissur,"Computer consultancy and computer facilities management
activities",FATEMA A BANDOOKWALA,U.S.A,1.88,0.03,Received in the Company,
"306
7",Universal Music Publishing Private Limited,Maharashtra,Mumbai Suburban,Activities Of Misic Publishing,Universal Music Trading Co. B.V.,Netherland,145.00,1.97,GREENFIE LD,
"306
8",UNIVERSAL SPORTSBIZ PRIVATE LIMITED,KARNATAKA,Bengaluru,"Wholesale of other households goods,
n.e.c. [Includes wholesale of household equipment and
appliances, n.e.c; photographic",NB Ventures Limited,British Virginia,36.92,0.50,Received in the Company,
,,,,"equipment, games, toys and sports goods (also includes
bicycles, cycle ricksh",,,,,,
"306
9",UNIVERSAL TECHNOLOGY SERVICES PRIVATE LIMITED,DELHI,South West Delhi,Other information technology and computer service activities n.e.c,"UNIVERSAL WEATHER AND AVIATION, INC.",U.S.A,0.10,0.00,Received in the Company,
"307
0",Unobanc Private Limited,UTTARAKHA ND,Dehradun,Publishing of operating business and other applications,Mayank Goyal,United Kingdom,0.50,0.01,Received in the Company,
"307
1",Unobanc Private Limited,UTTARAKHA ND,Dehradun,Publishing of operating business and other applications,HOP Financial Solutions Limited,United Kingdom,1.90,0.03,Received in the Company,
"307
2",UOLO EDTECH PRIVATE LIMITED,DELHI,South West Delhi,"Other information technology and computer service
activities n.e.c",ON Mauritius,Mauritius,50.00,0.68,Received in the Company,
"307
3",Upanaya Labs Private Limited,MAHARASHT RA,Raigarh(MH),Other information service activities n.e.c.,DRDHA Irrevocable Trust,U.S.A,21.24,0.29,Received in the Company,
"307
4",UPFIELD INDIA PRIVATE LIMITED,KARNATAKA,Bengaluru,"Manufacture of vegetable oils and
fats excluding corn oil",UPFIELD EUROPE B.V.,Netherland,0.10,0.00,Received in the Company,
"307
5",UPFIELD INDIA PRIVATE LIMITED,KARNATAKA,Bengaluru,Manufacture of vegetable oils and fats excluding corn oil,UPFIELD B.V,Netherland,0.00,0.00,Received in the Company,
