Table No.19 (b),,,,,,,,,,
"STATEMENT ON REMMITTANCE-WISE DETAILS OF FDI EQUITY INFLOWS UNDER ACQUISITION OF SHARES ROUTE
398,KNOWLEDGE ASSOCIATES SOLUTIONS PRIVATE LIMITED,MAHARASHTRA,Mumbai,Management consultancy activities,Ronald A Young,United Kingdom,0.09,0.00,Received in the Company,
399,KOLVAN SOLUTIONS PRIVATE LIMITED,ANDHRA PRADESH,Guntur,Other information technology and computer service activities n.e.c,KOLVAN CORPORATION,U.S.A,0.10,0.00,"Received
in the Company",
400,KSH Infra Private Limited,MAHARASHTRA,Pune,Other civil engineering projects n.e.c.,CT Logistics Assets (India) Pte Ltd,Singapore,121.46,1.66,Received in the Company,
401,KURLON ENTERPRISE LIMITED,MAHARASHTRA,Mumbai,Manufacture of mattresses and pillows,MANDAR JAGANNATH VELANKAR,UAE,0.74,0.01,"Received in the
Company",
402,KURTZ ERSA INDIA - SMART PRODUCTION TECHNOLOGIES PRIVATE LIMITED,KARNATAKA,Bengaluru,Wholesale of other electronic equipments and parts thereof,"KURTZ HOLDING GMBH
+ CO. BETEILIGUNGS KG",Germany,0.00,0.00,Received in the Company,
403,KURTZ ERSA INDIA - SMART PRODUCTION TECHNOLOGIES PRIVATE LIMITED,KARNATAKA,Bengaluru,Wholesale of other electronic equipments and parts thereof,ERSA GMBH,Germany,0.00,0.00,Received in the Company,
404,L29 Expansion Solutions Private Limited,KARNATAKA,Bengaluru,Activities of employment placement agencies,Leap29 Holdings Limited,United Kingdom,0.01,0.00,Received in the Company,
405,LAEMPE INDIA PRIVATE LIMITED,MAHARASHTRA,Pune,Other non-specialised wholesale trade n.e.c.,Laempe Moessner Sinto GmbH,Germany,0.01,0.00,Received in the Company,
406,LAEMPE INDIA PRIVATE LIMITED,MAHARASHTRA,Pune,Other non-specialised wholesale trade n.e.c.,Andre Klimm,Germany,0.00,0.00,Received in the Company,
407,LAEMPE INDIA PRIVATE LIMITED,MAHARASHTRA,Pune,Other non-specialised wholesale trade n.e.c.,Laempe Moessner Sinto GmbH,Germany,0.00,0.00,Received in the Company,
408,Landscape and Urbanism Studio Private Limited,TAMIL NADU,Chennai,Architectural and engineering activities and related technical consultancy,Ari Daman,U.S.A,0.01,0.00,Received in the Company,
409,Last Decimal Private Limited,MAHARASHTRA,Pune,Other information technology and computer service activities n.e.c,Eldee Insurtech Pte Ltd,Singapore,0.07,0.00,Received in the Company,
410,Last Decimal Private Limited,MAHARASHTRA,Pune,Other information technology and computer service activities n.e.c,Eldee Insurtech Pte Ltd,Singapore,0.07,0.00,"Received
in the Company",
411,Last Decimal Private Limited,MAHARASHTRA,Pune,Other information technology and computer service activities n.e.c,Eldee Insurtech Pte Ltd,Singapore,0.02,0.00,Received in the Company,
412,LEAP SKILLS ACADEMY PRIVATE LIMITED,DELHI,South Delhi,Educational support activities,elea Foundation for Ethics in Globalization,Switzerland,1.38,0.02,"Received in the
Company",
413,LEIXIR RESOURCES PRIVATE LIMITED,HARYANA,Gurgaon,"Manufacture of dental fillings and cements (except denture adhesive or cement), dental wax and other dental plaster preparations; manufacture of dental laboratory furnaces, dental
instruments, artific",Leixir Intermediate Corp.,U.S.A,660.87,9.02,Received in the Company,
414,LEIXIR RESOURCES PRIVATE LIMITED,HARYANA,Gurgaon,"Manufacture of dental fillings and cements (except denture adhesive or cement), dental wax and other dental plaster preparations; manufacture of dental laboratory furnaces, dental
instruments, artific",Leixir Intermediate Corp,U.S.A,801.48,10.90,Received in the Company,
415,LERCH BATES PRIVATE LIMITED,MAHARASHTRA,Mumbai,"Installation of elevators, escalators",LERCH BATES INC.,U.S.A,4.20,0.06,Received in the Company,
416,LERCH BATES PRIVATE LIMITED,MAHARASHTRA,Mumbai,"Installation of elevators, escalators",LERCH BATES INC.,U.S.A,1.50,0.02,"Received in the
Company",
417,"LETS TALK THREE SIXTY DATA NETWORKING
SOLUTIONS PRIVATE LIMITED",DELHI,South Delhi,Other telecommunications activities,TALK360 GROUP B.V.,Netherland,0.20,0.00,Received in the Company,
418,LETS TALK THREE SIXTY DATA NETWORKING SOLUTIONS PRIVATE LIMITED,DELHI,South Delhi,Other telecommunications activities,TALK360 GROUP B.V.,Netherland,0.01,0.00,Received in the Company,
419,Locon Solutions Private Limited,MAHARASHTRA,Mumbai,"Other data processing, hosting and related activities n.e.c.",ELARA TECHNOLOGIES PTE LTD,Singapore,5.15,0.07,Received in the Company,
420,Locon Solutions Private Limited,MAHARASHTRA,Mumbai,"Other data processing, hosting and related activities n.e.c.",Elara Technologies Pte Ltd,Singapore,13.26,0.18,Received in the Company,
421,Locon Solutions Private Limited,MAHARASHTRA,Mumbai,"Other data processing, hosting and related activities n.e.c.",Elara Technologies Pte Ltd,Singapore,5.95,0.08,Received in the Company,
422,Log 9 materials scientific private limited,KARNATAKA,Bengaluru,"Other professional, scientific and technical activities n.e.c.",Surge Ventures II,Mauritius,18.87,0.26,"Received
in the Company",
423,LOGICVALLEY TECHNOLOGIES PRIVATE LIMITED,TAMIL NADU,Coimbatore,Providing software support and maintenance to the clients,Marston (Holdings) Limited,United Kingdom,18.80,0.26,Received in the Company,
424,LRTOUCH B2B TRADING PRIVATE LIMITED,HARYANA,Gurgaon,"Wholesale of textiles, fabrics, yarn, household linen, articles of clothing, floor
coverings and tapestry, sports clothes",MA WILLMIND HOLDINGS LIMITED,Mauritius,0.10,0.00,"Received in the
Company",
425,LUMONT VENTURES PRIVATE LIMITED,DELHI,South Delhi,Manufacture of vegetable oils and fats excluding corn oil,Periventures Pte. Ltd.,Singapore,0.05,0.00,"Received
in the Company",
426,LUMONT VENTURES PRIVATE LIMITED,DELHI,South Delhi,Manufacture of vegetable oils and fats excluding corn oil,Periventures Pte. Ltd.,Singapore,0.04,0.00,Received in the Company,
427,MACNOVATE INDIA AUTOMATION SERVICES PRIVATE LIMITED,MAHARASHTRA,Thane,Other information technology and computer service activities n.e.c,MR. MICHAEL MCNAMARA,Ireland,0.17,0.00,Received in the Company,
428,Mahindra CIE Automotive Limited,MAHARASHTRA,Mumbai,"Forging, pressing, stamping and roll- forming of metal; powder metallurgy","Participaciones Internacionales Autometal, Dos S.L",Spain,370.37,5.04,Received in the Company,
429,Mahindra CIE Automotive Limited,MAHARASHTRA,Mumbai,"Forging, pressing, stamping and roll- forming of metal; powder metallurgy","Participaciones Internacionales Autometal, Dos S.L",Spain,633.07,8.50,Received in the Company,
430,MAKE POSITIVE PROVAR INDIA PRIVATE LIMITED,HARYANA,Gurgaon,Computer consultancy and computer facilities management activities,Make Positive Provar Limited,United Kingdom,0.10,0.00,Received in the Company,
431,MANASH LIFESTYLE PRIVATE LIMITED,MAHARASHTRA,Mumbai,Retail sale via e-commerce,Verlinvest SA,Belgium,13.60,0.18,Received in the,
,,,,,,,,,Company,
432,MANASH LIFESTYLE PRIVATE LIMITED,MAHARASHTRA,Mumbai,Retail sale via e-commerce,SCI Growth Investments III,Mauritius,"1,247.71",16.96,Received in the Company,
433,MANASH LIFESTYLE PRIVATE LIMITED,MAHARASHTRA,Mumbai,Retail sale via e-commerce,Verlinvest SA,Belgium,"1,603.23",21.88,Received in the Company,
434,MANIPAL GLOBAL EDUCATION SERVICES PVT LTD,KARNATAKA,Bengaluru,Educational Support Services,Manipal Research And Management Services International,Mauritius,"9,635.75",130.99,Received in the Company,
435,MANNA HEALTHCARE PRIVATE LIMITED,DELHI,North West Delhi,Telephone based information services,Roundglass LLC,U.S.A,2.59,0.04,Received in the Company,
436,MANNA HEALTHCARE PRIVATE LIMITED,DELHI,North West Delhi,Telephone based information services,Roundglass LLC,U.S.A,8.40,0.11,Received in the Company,
437,MANNA HEALTHCARE PRIVATE LIMITED,DELHI,North West Delhi,Telephone based information services,Roundglass LLC,U.S.A,1.94,0.03,"Received in the
Company",
438,MANNA HEALTHCARE PRIVATE LIMITED,DELHI,North West Delhi,Telephone based information services,Roundglass LLC,U.S.A,2.59,0.04,Received in the Company,
439,MANTLE SOLUTIONS PRIVATE LIMITED,KERALA,Ernakulam,Computer consultancy and computer facilities management activities,Lulu BPO SPV LTD,UAE,0.20,0.00,Received in the Company,
440,MARCGRC SOLUTIONS PRIVATE LIMITED,KARNATAKA,Bengaluru,Providing software support and maintenance to the clients,MARC VENTURES B.V.,Netherland,1.61,0.02,"Received
in the Company",
441,Mash Energy India Private Limited,MAHARASHTRA,THANE,Manufacture of other special-purpose machinery n.e.c.,Mash Energy APS,Denmark,0.03,0.00,Received in the Company,
442,Mash Energy India Private Limited,MAHARASHTRA,THANE,Manufacture of other special-purpose machinery n.e.c.,Mash Energy APS,Denmark,0.01,0.00,"Received in the
Company",
443,Max Healthcare Institute Limited,MAHARASHTRA,Mumbai,Hospital activities,Kayak Investments Holding Pte. Ltd,Singapore,200.00,2.73,Received in the Company,
444,MAX LIFE INSURANCE COMPANY LIMITED,PUNJAB,Nawanshahr,Life insurance,MITSUI SUMITOMO INSURANCE COMPANY LIMITED,Japan,826.50,11.28,Received in the Company,
445,"MEDICAMETRIX
DEVICES PRIVATE LIMITED",TELANGANA,Hyderabad,Manufacture of other medical and dental instruments n.e.c.,"MEDICAMETRIX, Inc., USA",U.S.A,0.12,0.00,"Received
in the Company",
446,MEERAKHOR NIMBLE INSTITUTE PRIVATE LIMITED,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,Nimblicity Group B.V.,Netherland,0.45,0.01,Received in the Company,
447,"MEERAKHOR NIMBLE INSTITUTE PRIVATE
LIMITED",KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,Nimblicity Group B.V.,Netherland,0.01,0.00,"Received in the
Company",
448,Merabo Labs Private Limited,RAJASTHAN,Jaipur,Other non-specialised wholesale trade n.e.c.,RMG Holdings LLC,U.S.A,1.49,0.02,"Received
in the Company",
449,Micro Plastics Private Limited,KARNATAKA,Ramanagar,Manufacture of other games and toys n.e.c.,PINNACLE ACE INVESTMENT HOLDINGS PTE. LTD.,Singapore,811.46,11.08,Received in the Company,
450,Micro Plastics Private Limited,KARNATAKA,Ramanagar,Manufacture of other games and toys n.e.c.,"PINNACLE ACE INVESTMENT HOLDINGS
PTE. LTD.",Singapore,"1,037.29",14.16,"Received in the
Company",
451,Micro Plastics Private Limited,KARNATAKA,Ramanagar,Manufacture of other games and toys n.e.c.,PINNACLE ACE INVESTMENT HOLDINGS PTE. LTD.,Singapore,811.46,11.08,Received in the Company,
452,Micro Plastics Private Limited,KARNATAKA,Ramanagar,Manufacture of other games and toys n.e.c.,"PINNACLE ACE INVESTMENT HOLDINGS
PTE. LTD.",Singapore,695.53,9.49,"Received in the
Company",
453,"MILLENNIUM
ONCOLOGY INDIA PRIVATE LIMITED",HARYANA,Gurgaon,Hospital activities,HMZ EUROPE GMBH,Germany,0.01,0.00,"Received
in the Company",
454,MINDFIELDS CONSULTING PRIVATE LIMITED,KARNATAKA,Bengaluru,Management consultancy activities,Mind Fields Consulting Pty Ltd,Australia,0.03,0.00,Received in the Company,
455,MINDFIELDS CONSULTING PRIVATE LIMITED,KARNATAKA,Bengaluru,Management consultancy activities,Mind Fields Consulting Pty Ltd,Australia,0.03,0.00,Received in the Company,
456,MINGCHEN PLASTIC TECHNOLOGY PRIVATE LIMITED,HARYANA,Gurgaon,Manufacture of other games and toys n.e.c.,HAN YU LIN,Taiwan,0.00,0.00,Received in the Company,
457,MSG GLOBAL INNOVATION PRIVATE LIMITED,TELANGANA,Hyderabad,Combined office administrative service activities,TMS International Corporation,U.S.A,0.00,0.00,Received in the Company,
458,MXC SOLUTIONS INDIA PRIVATE LIMITED,MAHARASHTRA,Mumbai,Business brokerage activities,MALABAR SELECT FUND,Mauritius,363.28,4.88,Received in the Company,
459,MXC SOLUTIONS INDIA PRIVATE LIMITED,MAHARASHTRA,Mumbai,Business brokerage activities,INDIA ACORN FUND LTD,Mauritius,544.92,7.32,Received in the Company,
460,MXC SOLUTIONS INDIA PRIVATE LIMITED,MAHARASHTRA,Mumbai,Business brokerage activities,ASHOKA INDIA EQUITY INVESTMENT TRUST PLC,United Kingdom,472.26,6.34,"Received in the
Company",
461,"MYCELIUM
TECHNOLOGIES PRIVATE LIMITED",KARNATAKA,Bengaluru,Providing software support and maintenance to the clients,Mycelium Software Inc,U.S.A,0.10,0.00,"Received
in the Company",
462,NANOPRECISE DATA SERVICES PRIVATE LIMITED,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,Nanoprecise Sci Corp,Canada,0.33,0.00,Received in the Company,
463,"NAVASHYA CONSUMER PRODUCTS PRIVATE
LIMITED",MAHARASHTRA,Thane,Manufacture of other articles n.e.c.,Saama Capital IV Ltd.,Mauritius,27.88,0.38,"Received in the
Company",
464,NAVIPOINT HEALTH,MAHARASHTRA,Mumbai,"Other professional, scientific and",NAVIPOINT HEALTH INC,U.S.A,0.05,0.00,Received,
,(INDIA) PRIVATE LIMITED,,,technical activities n.e.c.,,,,,in the Company,
465,"NEEV ENERGY
DEVELPOMENT PRIVATE LIMITED",MAHARASHTRA,Mumbai,Manufacture of electric lighting equipment,NEEV ENERGY PTE LTD,Singapore,0.10,0.00,"Received
in the Company",
466,Nellai Renewables Private Limited,DELHI,South Delhi,Electric power generation using solar energy,Statkraft IH Holding AS,Norway,148.00,1.99,Received in the Company,
467,"NETAFIM AGRICULTURAL
FINANCING AGENCY PRIVATE LIMITED",MAHARASHTRA,THANE,"Other financial service activities, except insurance and pension funding activities, n.e.c.",Netafim Singapore Holdings Pte. Ltd.,Singapore,225.91,3.03,Received in the Company,
468,"NEXTHERMAL MANUFACTURING INDIA
PRIVATE LIMITED",KARNATAKA,Bengaluru,Manufacture of other electrical equipment,Nexthermal Corporation,U.S.A,1.03,0.01,"Received in the
Company",
469,NGP WEB SMART PRIVATE LIMITED,TAMIL NADU,Chennai,Providing software support and maintenance to the clients,"NORTHERN
TECHWORKS PRIVATE LIMITED",Singapore,17.34,0.23,"Received
in the Company",
470,NIEDAX INDIA CABLE MANAGEMENT SYSTEMS PRIVATE LIMITED,KARNATAKA,Bengaluru,Manufacture of other fabricated metal products n.e.c.,NIEDAX MIDDLE EAST FZE,UAE,0.01,0.00,Received in the Company,
471,NIHON TECHNOLOGY PRIVATE LIMITED,TAMIL NADU,Chennai,Computer consultancy and computer facilities management activities,Nihon Technology pte Ltd,Singapore,1.50,0.02,"Received
in the Company",
472,NIHON TECHNOLOGY PRIVATE LIMITED,TAMIL NADU,Chennai,Computer consultancy and computer facilities management activities,Nihon Technology pte Ltd,Singapore,1.70,0.02,Received in the Company,
473,NIHON TECHNOLOGY PRIVATE LIMITED,TAMIL NADU,Chennai,Computer consultancy and computer facilities management activities,Nihon Technology pte Ltd,Singapore,0.10,0.00,"Received in the
Company",
474,NNC BANGALORE WASTE TO ENERGY PRIVATE LIMITED,KARNATAKA,Bengaluru,Remediation activities and other waste management services,NexusNovus Capital B.V,Netherland,0.10,0.00,Received in the Company,
475,Noda Labs India Private Limited,HARYANA,Gurgaon,Data processing activities including report writing,Noda Lab Co. Ltd.,South Korea,0.01,0.00,Received in the Company,
476,Noda Labs India Private Limited,HARYANA,Gurgaon,Data processing activities including report writing,Noda Lab Co. Ltd.,South Korea,0.01,0.00,"Received
in the Company",
477,NODWIN GAMING PRIVATE LIMITED,HARYANA,Gurgaon,Other sports activities,Krafton Inc,South Korea,395.66,5.31,Received in the Company,
478,NODWIN GAMING PRIVATE LIMITED,HARYANA,Gurgaon,Other sports activities,"Krafton, INC.",South Korea,153.57,2.06,"Received in the
Company",
479,Norwin Technologies (India) Private Limited,KARNATAKA,Bengaluru,Computer consultancy and computer facilities management activities,FTH Acquisition Corp. VII,U.S.A,1.00,0.01,"Received
in the Company",
480,Norwin Technologies (India) Private Limited,KARNATAKA,Bengaluru,Computer consultancy and computer facilities management activities,FTH Acquisition Corp. VII,U.S.A,9.00,0.12,"Received
in the Company",
481,NTECK Automotive Private Limited,HARYANA,Gurgaon,"Manufacture of diverse parts and accessories for motor vehicles such as brakes, gearboxes, axles,road wheels, suspension shock absorbers, radiators, silencers, exhaust pipes, catalysers,
clutches, ste",Koritu Co. Ltd.,Japan,0.54,0.01,Received in the Company,
482,NTEX TRANSPORTATION SERVICES PRIVATE LIMITED,MAHARASHTRA,Pune,Other information service activities n.e.c.,Avataar Holdings,Mauritius,9.16,0.13,Received in the Company,
483,"NTEX TRANSPORTATION
SERVICES PRIVATE LIMITED",MAHARASHTRA,Pune,Other information service activities n.e.c.,"KALAARI CAPITAL PARTNERS
OPPORTUNITY FUND LLC",Mauritius,7.61,0.10,Received in the Company,
484,NTEX TRANSPORTATION SERVICES PRIVATE LIMITED,MAHARASHTRA,Pune,Other information service activities n.e.c.,KALAARI CAPITAL PARTNERS OPPORTUNITY FUND LLC,Mauritius,7.61,0.10,Received in the Company,
485,NTEX TRANSPORTATION SERVICES PRIVATE LIMITED,MAHARASHTRA,Pune,Other information service activities n.e.c.,Avataar Holdings,Mauritius,9.16,0.13,Received in the Company,
486,"NTEX TRANSPORTATION
SERVICES PRIVATE LIMITED",MAHARASHTRA,Pune,Other information service activities n.e.c.,"KALAARI CAPITAL PARTNERS
OPPORTUNITY FUND LLC",Mauritius,7.61,0.10,Received in the Company,
487,NTEX TRANSPORTATION SERVICES PRIVATE LIMITED,MAHARASHTRA,Pune,Other information service activities n.e.c.,KALAARI CAPITAL PARTNERS OPPORTUNITY FUND LLC,Mauritius,43.44,0.59,Received in the Company,
488,NTEX TRANSPORTATION SERVICES PRIVATE LIMITED,MAHARASHTRA,Pune,Other information service activities n.e.c.,Avataar Holdings,Mauritius,9.16,0.12,Received in the Company,
489,NTEX TRANSPORTATION SERVICES PRIVATE LIMITED,MAHARASHTRA,Pune,Other information service activities n.e.c.,Avataar Holdings,Mauritius,47.21,0.64,Received in the Company,
490,"NTEX TRANSPORTATION SERVICES PRIVATE
LIMITED",MAHARASHTRA,Pune,Other information service activities n.e.c.,"KALAARI CAPITAL PARTNERS OPPORTUNITY FUND
LLC",Mauritius,7.61,0.10,Received in the Company,
491,ODWEN TECHNOLOGIES PRIVATE LIMITED,TELANGANA,Hyderabad,"Storage and warehousing n.e.c.[Includes general merchandise warehouses and warehousing of furniture, automobiles, gas and oil, chemicals, textiles etc. Also
included is storage of goods in foreign",ODWEN INC.,U.S.A,0.01,0.00,Received in the Company,
,,,,trade zones,,,,,,
492,OFB TECH PRIVATE LIMITED,DELHI,South West Delhi,Wholesale trade via e-commerce excluding activities of commission agents,Creation Investments India II LLC,U.S.A,178.81,2.40,Received in the Company,
493,OFB TECH PRIVATE LIMITED,DELHI,South West Delhi,Other non-specialised wholesale trade n.e.c.,ALPHA WAVE VENTURES LP,Cayman Islands,202.31,2.75,Received in the Company,
494,OFB TECH PRIVATE LIMITED,DELHI,South West Delhi,Other non-specialised wholesale trade n.e.c.,Creation Investments India II LLC,U.S.A,23.50,0.32,Received in the Company,
495,OFB TECH PRIVATE LIMITED,DELHI,South West Delhi,Other non-specialised wholesale trade n.e.c.,ALPHA WAVE VENTURES LP,Cayman Islands,27.59,0.38,Received in the Company,
496,Oku Tech Private Limited,HARYANA,Gurgaon,"Other data processing, hosting and related activities n.e.c.",Elara Technologies Pte Ltd,Singapore,0.74,0.01,Received in the Company,
497,Oku Tech Private Limited,HARYANA,Gurgaon,"Other data processing, hosting and related activities n.e.c.",Elara Technologies Pte Ltd,Singapore,3.45,0.05,"Received in the
Company",
498,Oku Tech Private Limited,HARYANA,Gurgaon,"Other data processing, hosting and related activities n.e.c.",Elara Technologies Pte Ltd.,Singapore,3.42,0.05,Received in the Company,
499,Omnidyne Sytems Private Limited,GUJARAT,Ahmedabad,Research and experimental development on natural sciences and engineering,SHREY PATEL,U.S.A,0.03,0.00,Received in the Company,
500,OMNIMED SOLUTIONS PRIVATE LIMITED,TELANGANA,Hyderabad,"Writing, modifying, testing of computer program to meet the needs of a
particular client excluding web-page designing",NEELIMA YERNENI,U.S.A,4.83,0.07,Received in the Company,
501,One 97 Communications Limited,DELHI,South Delhi,Other information technology and computer service activities n.e.c,Elevation Capital V Limited,Mauritius,8.46,0.12,"Received in the
Company",
502,One 97 Communications Limited,DELHI,South Delhi,Other information technology and computer service activities n.e.c,Equity Acquisition Company Ltd,British Virginia,234.00,3.18,"Received
in the Company",
503,Oravel Stays Private Limited,GUJARAT,Ahmedabad,"Provision of short stay accommodation
n.e.c. (e.g. holiday homes, private guest houses etc.)",DIG INVESTMENT VIII AB,Sweden,17.60,0.24,Received in the Company,
504,ORBI HEALTH PRIVATE LIMITED,KARNATAKA,Bengaluru,Providing software support and maintenance to the clients,ORBI HEALTH INC,U.S.A,0.03,0.00,Received in the Company,
505,ORBI HEALTH PRIVATE LIMITED,KARNATAKA,Bengaluru,Providing software support and maintenance to the clients,ORBI HEALTH INC.,U.S.A,0.04,0.00,Received in the Company,
506,ORFFA ANIMAL NUTRITION PRIVATE LIMITED,MAHARASHTRA,Thane,"Wholesale of straw, fodder and other animal/poultry feed",ORFFA INTERNATIONAL HOLDING B.V.,Netherland,4.97,0.07,Received in the Company,
507,ORGATREATMENTS PRIVATE LIMITED,MAHARASHTRA,Pune,Materials recovery,Livia Organic Industries AG,Germany,7.50,0.10,Received in the,
,,,,,,,,,Company,
508,OSCEOLA STAFFING PRIVATE LIMITED,TELANGANA,Hyderabad,Other information service activities n.e.c.,Osceola Staffing PL LLC,U.S.A,0.00,0.00,Received in the Company,
509,OSCILLA POWER PRIVATE LIMITED,KERALA,Ernakulam,Electric power generation using other non conventional sources,Oscilla Power Inc.,U.S.A,0.05,0.00,Received in the Company,
510,OURS COMMUNITY PRIVATE LIMITED,MAHARASHTRA,Mumbai,Other information technology and computer service activities n.e.c,Ours Community Inc.,U.S.A,0.02,0.00,Received in the Company,
511,Overleap Networks Private Limited,KARNATAKA,Bengaluru,Other business support service activities n.e.c,Bzaar Inc.,U.S.A,0.00,0.00,Received in the Company,
512,Overleap Networks Private Limited,KARNATAKA,Bengaluru,Other business support service activities n.e.c,Bzaar Inc.,U.S.A,0.10,0.00,Received in the Company,
513,PAL REMATERIALS INDIA PRIVATE LIMITED,GUJARAT,Ahmedabad,Manufacture of other paper products n.e.c.,Rematerials Inc.,U.S.A,0.11,0.00,"Received in the
Company",
514,Parksons Packaging Limited,DAMAN & DIU,Daman,Manufacture of card board boxes,Green Fin Investments B. V.,Netherland,"7,720.66",105.38,Received in the Company,
515,Parksons Packaging Limited,DAMAN & DIU,Daman,Manufacture of card board boxes,Green Fin Investments B. V.,Netherland,32.80,0.45,Received in the Company,
516,Parksons Packaging Limited,DAMAN & DIU,Daman,Manufacture of card board boxes,GREEN FIN INVESTMENTS B.V.,Netherland,"1,334.25",18.21,"Received
in the Company",
517,Parksons Packaging Limited,DAMAN & DIU,Daman,Manufacture of card board boxes,GREEN FIN INVESTMENTS B.V.,Netherland,270.95,3.70,Received in the Company,
518,PARTOO SOFTWARE PRIVATE LIMITED,MAHARASHTRA,Mumbai,Other information technology and computer service activities n.e.c,Partoo,France,1.50,0.02,"Received in the
Company",
519,PB FINTECH LIMITED,HARYANA,Gurgaon,Other information service activities n.e.c.,Triumph Global Holdings Pte Limited,Singapore,541.96,7.40,Received in the Company,
520,PB FINTECH LIMITED,HARYANA,Gurgaon,Other information service activities n.e.c.,Ashoka India Equity Investment Trust Plc,United Kingdom,178.95,2.44,Received in the Company,
521,PB FINTECH LIMITED,HARYANA,Gurgaon,Other information service activities n.e.c.,.BAY CAPITAL HOLDINGS LTD,Mauritius,62.84,0.85,"Received
in the Company",
522,PB FINTECH PRIVATE LIMITED,HARYANA,Gurgaon,Other information service activities n.e.c.,Bay Capital Holdings Ltd,Mauritius,200.12,2.69,Received in the Company,
523,PB FINTECH PRIVATE LIMITED,HARYANA,Gurgaon,Other information service activities n.e.c.,India Acorn Fund Limited,Mauritius,540.83,7.26,"Received in the
Company",
524,PCC INTERLININGS PRIVATE LIMITED,HARYANA,Gurgaon,"Wholesale of textiles, fabrics, yarn,
household linen, articles of clothing, floor coverings and tapestry, sports clothes",Fitexin,France,0.10,0.00,"Received
in the Company",
525,Pelemix India Private Limited,TAMIL NADU,Tirunelveli,Manufacture of products of pith and shalapith,PELEMIX LANKA PRIVATE LIMITED,Sri Lanka,7.23,0.10,Brownfield,
526,PEOPLE MESH PRIVATE LIMITED,HARYANA,Gurgaon,Computer consultancy and computer facilities management activities,PEOPLE MESH INC,U.S.A,0.10,0.00,Received in the Company,
527,Pfiffner Instrument Transformers Private Limited,MAHARASHTRA,Nashik,"Manufacture of electric power distribution transformers, arc-welding transformers, fluorescent ballasts, transmission and distribution voltage regulators",PFIFFNER INTERNATIONAL AG,Switzerland,48.78,0.66,Received in the Company,
528,PHOENIX IT INFRASTRUCTURE INDIA PRIVATE LIMITED,TELANGANA,Hyderabad,Construction of buildings carried out on own-account basis or on a fee or contract basis,Ascendas Property Fund (India) Pte Ltd,Singapore,4.23,0.06,Received in the Company,
529,PHOENIX IT INFRASTRUCTURE INDIA PRIVATE LIMITED,TELANGANA,Hyderabad,Construction of buildings carried out on own-account basis or on a fee or contract basis,Ascendas Property Fund (India) Pte Ltd,Singapore,266.20,3.63,Received in the Company,
530,PHOENIX IT INFRASTRUCTURE INDIA PRIVATE LIMITED,TELANGANA,Hyderabad,Construction of buildings carried out on own-account basis or on a fee or contract basis,Ascendas Property Fund (India) Pte Ltd,Singapore,255.61,3.49,Received in the Company,
531,"Piiq Technologies
Development Private Limited",MAHARASHTRA,Pune,Other information technology and computer service activities n.e.c,Piiq Technologies Inc,U.S.A,1.50,0.02,"Received
in the Company",
532,PINK CITY PROMOTERS INDIA PRIVATE LIMITED,MAHARASHTRA,Pune,Construction of buildings carried out on own-account basis or on a fee or contract basis,SALIM HAMOOD ALI AL MASKARI,Oman,0.01,0.00,Received in the Company,
533,"PIPPIN TECHNOLOGIES (INDIA) PRIVATE
LIMITED",KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,Pippin Title Inc,U.S.A,0.10,0.00,"Received in the
Company",
534,Prakriti Power Private Limited,RAJASTHAN,Jodhpur,Electric power generation using other non conventional sources,Focal Renewable Energy Holdings Limited,Cyprus,0.10,0.00,Greenfield,
535,Pramati Software Private Limited,Telangana,Hyderabad,"Writing, modifying, testing of computer program to meet the needs of a particular client excluding web-page designing",Vijaya Prasanna Srinivasa Rao Pullur,U.S.A,0.00,0.00,Received in the Company,
536,"PRESTIGE
AMUSEMENTS PRIVATE LIMITED",KARNATAKA,Bengaluru,Other business support service activities n.e.c,"BREP Asia II Indian
Holding Co IX (NQ) Pte. Ltd",Singapore,184.62,2.48,"Received
in the Company",
537,PRESTIGE AMUSEMENTS PRIVATE LIMITED,KARNATAKA,Bengaluru,Other business support service activities n.e.c,BREP Asia II Indian Holding Co IX (NQ) Pte. Ltd,Singapore,184.57,2.48,Received in the Company,
538,"PRESTIGE AMUSEMENTS PRIVATE
LIMITED",KARNATAKA,Bengaluru,Other business support service activities n.e.c,"BREP Asia II Indian Holding Co IX (NQ) Pte.
Ltd",Singapore,184.62,2.48,"Received in the
Company",
539,"PRESTIGE
AMUSEMENTS PRIVATE LIMITED",KARNATAKA,Bengaluru,Other business support service activities n.e.c,"BREP Asia II Indian
Holding Co IX (NQ) Pte. Ltd",Singapore,576.79,7.75,"Received
in the Company",
540,Prestige Garden Constructions Private Limited,KARNATAKA,Bengaluru,"Activities relating to alteration, addition, repair, maintenance carried out on own- account basis or on a fee or contract basis",BREP Asia II Indian Holding Co. IX (NQ) Pte. Ltd,Singapore,"1,523.30",20.79,Received in the Company,
